cardNumber,holderName,cnic,balance,blocked,active,openJourney,entryStation,entryTime
1234569444329087,azam,352016754329987,300.00,0,1,0,-1,
1234560000000101,Ali File User,3520211111111,260.00,0,1,1,2,19:00
1234560000000401,Blocked New User,3520200000401,500.00,1,1,0,-1,
1234560000000102,Ahmed File User,3520222222222,250.00,1,1,0,-1,
1234560000000201,Command User,3520299999999,0.00,0,1,0,-1,
1234560000000501,blocked test,35202234567543,500.00,1,1,0,-1,
1234560000000234,Command User 2,3520299999990,200.00,0,1,0,-1,
1234568740923456,nabeel,3520265983451,500.00,0,1,0,-1,
1234560000000103,Sara File User,3520233333333,700.00,0,1,0,-1,
1234560000000502,Initially Blocked Test,3520200000502,500.00,1,1,0,-1,
